2017-03-16 15:15:25

Douban books top 250, reordered. 
Total number: 250

ID, original order, rating, votes, title
01027191, 193, 9.0, 027112, 历史深处的忧虑
01044547, 142, 8.9, 031552, 射雕英雄传（全四册）
03006581, 161, 8.9, 031381, 无人生还
03813669, 079, 8.6, 052055, 民主的细节
01045818, 060, 8.5, 059908, 苏菲的世界
01449351, 134, 8.8, 035133, 呐喊
04242172, 025, 8.3, 086266, 天才在左 疯子在右
01029111, 143, 8.9, 029235, 哭泣的骆驼
01066462, 046, 8.4, 069500, 向左走·向右走
03608208, 092, 8.6, 047249, 牧羊少年奇幻之旅
02154960, 114, 8.7, 039677, 一个陌生女人的来信
01043008, 186, 8.9, 028056, 格林童话全集
01080370, 095, 8.6, 045663, 情书
03554154, 235, 9.0, 023201, 阿狸·梦之城堡
02035162, 239, 9.0, 023200, 刀锋
01401841, 241, 9.0, 023051, 傲慢与偏见
03626924, 243, 9.0, 023042, 明朝那些事儿（柒）：大结局
04742918, 039, 8.3, 074760, 1Q84 BOOK 1
03071717, 170, 8.8, 030658, 爱你就像爱生命
01205054, 206, 8.9, 025984, 悲惨世界（上中下）
02253642, 167, 8.8, 030506, 明朝那些事儿（肆）
01022060, 041, 8.3, 073901, 狼图腾
03646172, 058, 8.4, 061046, 恶意
01948901, 062, 8.4, 058620, 盗墓笔记
03009821, 191, 8.8, 027780, 明朝那些事儿（伍）
01119522, 078, 8.4, 055088, 呼啸山庄
01003000, 076, 8.4, 055047, 悟空传
01082406, 196, 8.8, 027382, 黄金时代
01082334, 050, 8.3, 066004, 穆斯林的葬礼
03274113, 247, 8.9, 023031, 明朝那些事儿（陆）
01212893, 169, 8.8, 026810, 鹿鼎记（全五册）
05916880, 125, 8.6, 037449, 华胥引（全二册）
04166819, 201, 8.8, 026708, 你好，旧时光（上 下）
01461903, 016, 8.0, 115353, 何以笙箫默
01085799, 130, 8.6, 036317, 白鹿原
02070844, 210, 8.8, 025579, 梦里花落知多少
01863930, 212, 8.8, 025574, 看不见的城市
04207781, 214, 8.8, 025476, 孩子你慢慢来
01767945, 219, 8.8, 025310, 一只特立独行的猪
01058661, 222, 8.8, 024539, 飞鸟集
04885241, 093, 8.4, 048057, 1Q84 BOOK 2
01963684, 152, 8.6, 033496, 半生缘
01401425, 073, 8.3, 056655, 兄弟（上）
01400705, 034, 8.1, 080350, 情人
01775691, 080, 8.3, 052733, 少有人走的路
05275059, 015, 7.9, 117796, 1988：我想和这个世界谈谈
01086249, 174, 8.6, 030636, 荆棘鸟
04714734, 103, 8.4, 043244, 这些都是你给我的爱
06798611, 215, 8.7, 025549, 史蒂夫·乔布斯传
01064275, 086, 8.3, 051242, 老人与海
03879301, 042, 8.1, 075029, 微微一笑很倾城
01985223, 221, 8.7, 025110, 倾城之恋
01358873, 141, 8.5, 034901, 月亮忘記了
01192090, 225, 8.7, 024601, 球状闪电
03014576, 111, 8.4, 041009, 陪安东尼度过漫长岁月
02159042, 113, 8.4, 040829, 挪威的森林
01051193, 187, 8.6, 028772, 麦琪的礼物
01088065, 188, 8.6, 028580, 阿Q正传
01014278, 132, 8.4, 037025, 红玫瑰与白玫瑰
01431836, 217, 8.6, 025676, 我的路
01059336, 218, 8.6, 025646, 往事并不如烟
01529893, 040, 8.0, 076859, 莲花
03426869, 069, 8.1, 061256, 三生三世 十里桃花
01020459, 146, 8.4, 034607, 此间的少年
01346815, 151, 8.4, 033948, 一個人住第5年
01059419, 067, 8.1, 059337, 海边的卡夫卡
01024197, 120, 8.3, 039833, 巴黎圣母院
02297697, 248, 8.6, 023480, ZOO
01013208, 202, 8.5, 027473, 如何阅读一本书
03017857, 203, 8.5, 027343, 金锁记
01056733, 123, 8.3, 038848, 地下铁
01292416, 208, 8.5, 026643, 香水
04231381, 209, 8.5, 026421, 那些回不去的年少时光
02209098, 036, 7.9, 079389, 致我们终将逝去的青春
02340100, 083, 8.1, 052746, 遇见未知的自己
01919201, 226, 8.5, 024893, 七夜雪
04011670, 145, 8.3, 035106, 人间失格
01291809, 230, 8.5, 024383, 世界尽头与冷酷仙境
02298149, 189, 8.4, 028792, 盗墓笔记3
01080309, 192, 8.4, 028532, 尘埃落定
01070851, 244, 8.5, 023864, 倚天屠龙记(共四册)
03609132, 245, 8.5, 023805, 把时间当作朋友
02256039, 028, 7.8, 088677, 杜拉拉升职记
01008988, 162, 8.3, 032994, 了不起的盖茨比
03266344, 207, 8.4, 026825, 盗墓笔记4
01013380, 101, 8.1, 046028, 茶花女
01012611, 180, 8.3, 030927, 乌合之众
04886245, 038, 7.8, 079207, 独唱团（第一辑）
03369600, 109, 8.1, 042740, 当我谈跑步时我谈些什么
26382433, 149, 8.2, 035275, 无声告白
02022979, 063, 8.1, 041637, 喜宝
01205370, 116, 8.1, 041500, 羊脂球
05327697, 205, 8.3, 027342, 橙
02057285, 166, 8.2, 032357, 盗墓笔记2
02567919, 211, 8.3, 026512, 匆匆那年（上下）
03598313, 102, 8.0, 046027, 西决
01882933, 133, 8.1, 037464, 鬼吹灯之精绝古城
01963310, 184, 8.2, 030005, 大地之灯
02056749, 154, 8.1, 034687, 时间旅行者的妻子
01043815, 197, 8.2, 028834, 骆驼祥子
01016003, 117, 8.0, 041623, 鲁滨逊漂流记
03344676, 157, 8.1, 034406, 常识
01050339, 068, 7.8, 061317, 文化苦旅
